Time,Boss,Event,Reporter
2019-11-27 06:35 PM,AZUREGOS,SPAWN,Bran
2019-11-27 06:47 PM,AZUREGOS,KILLED,Bran
2019-11-21 10:46 AM,AZUREGOS,SPAWN,Bran
2019-11-21 07:12 PM,KAZZAK,SPAWN,Bran
2019-11-25 07:12 PM,KAZZAK,SPAWN,Bran
2019-11-26 06:20 AM,AZUREGOS,SPAWN,Bran
2019-11-20 07:10 AM,KAZZAK,RESET,Bran
2019-11-20 07:10 AM,AZUREGOS,RESET,Bran
2019-11-20 05:38 AM,AZUREGOS,SPAWN,Bran
2019-11-18 06:38 AM,AZUREGOS,SPAWN,Bran
2019-11-18 08:52 AM,AZUREGOS,KILLED,Bran
2019-11-19 04:08 AM,KAZZAK,SPAWN,Bran
2019-11-19 04:21 AM,KAZZAK,KILLED,Bran
2019-11-28 02:20 PM,KAZZAK,CHECKED,Op
2019-11-28 03:00 PM,KAZZAK,CHECKED,Op
2019-11-28 03:03 PM,AZUREGOS,CHECKED,Op
2019-11-28 03:44 PM,KAZZAK,CHECKED,Banx
2019-11-28 07:50 PM,KAZZAK,CHECKED,Derok
2019-11-28 08:26 PM,KAZZAK,CHECKED,Derok
2019-11-28 08:55 PM,KAZZAK,CHECKED,Derok
2019-11-28 09:26 PM,KAZZAK,CHECKED,Derok
2019-11-28 09:56 PM,KAZZAK,CHECKED,Derok
2019-11-28 10:37 PM,KAZZAK,CHECKED,Slayerseth
2019-11-28 11:33 PM,KAZZAK,CHECKED,Lokomani
2019-11-29 12:17 AM,KAZZAK,CHECKED,Drum
2019-11-29 12:59 AM,KAZZAK,CHECKED,Lokomani
2019-11-29 07:47 AM,AZUREGOS,CHECKED,Derok
2019-11-29 08:15 AM,AZUREGOS,CHECKED,Zodiackiller
2019-11-29 09:31 AM,AZUREGOS,CHECKED,Zodiackiller
2019-11-29 10:50 AM,AZUREGOS,CHECKED,Zodiackiller
2019-11-29 11:22 AM,AZUREGOS,CHECKED,Zodiackiller
2019-11-29 12:00 PM,AZUREGOS,CHECKED,Drum
2019-11-29 12:45 PM,AZUREGOS,CHECKED,Drum
2019-11-29 01:08 PM,KAZZAK,CHECKED,Tore
2019-11-29 01:20 PM,AZUREGOS,CHECKED,Tristessa
2019-11-29 01:49 PM,AZUREGOS,CHECKED,Drum
2019-11-29 02:38 PM,AZUREGOS,CHECKED,Drum
2019-11-29 02:10 AM,KAZZAK,SPAWN,Bran
2019-11-29 02:32 AM,KAZZAK,KILLED,Bran
2019-11-28 03:47 PM,AZUREGOS,SPAWN,Bran
2019-11-28 04:26 PM,AZUREGOS,KILLED,Bran
2019-11-29 05:27 PM,AZUREGOS,CHECKED,Tristessa
2019-11-29 06:16 PM,AZUREGOS,CHECKED,Zodiackiller
2019-11-29 06:54 PM,KAZZAK,CHECKED,Lokomani
2019-11-29 06:55 PM,AZUREGOS,CHECKED,Zodiackiller
2019-11-29 07:30 PM,AZUREGOS,CHECKED,Zodiackiller
2019-11-29 08:23 PM,AZUREGOS,CHECKED,Drum
2019-11-29 09:47 PM,AZUREGOS,CHECKED,Derok
2019-11-29 10:31 PM,AZUREGOS,CHECKED,Derok
2019-11-29 11:01 PM,AZUREGOS,CHECKED,Derok
2019-11-29 11:37 PM,AZUREGOS,CHECKED,Derok
2019-11-30 12:05 AM,AZUREGOS,CHECKED,Derok
2019-11-30 12:30 AM,KAZZAK,CHECKED,Lokomani
2019-11-30 12:32 AM,AZUREGOS,CHECKED,Derok
2019-11-30 01:27 AM,AZUREGOS,CHECKED,Derok
2019-11-30 01:34 AM,KAZZAK,CHECKED,Derok
2019-11-30 02:02 AM,AZUREGOS,CHECKED,Derok
2019-11-30 02:03 AM,KAZZAK,CHECKED,Butterboy
2019-11-30 02:34 AM,AZUREGOS,CHECKED,Derok
2019-11-30 02:36 AM,KAZZAK,CHECKED,Butterboy
2019-11-30 03:16 AM,AZUREGOS,CHECKED,Derok
2019-11-30 03:24 AM,KAZZAK,CHECKED,Butterboy
2019-11-30 04:00 AM,AZUREGOS,CHECKED,riss
2019-11-30 04:09 AM,KAZZAK,CHECKED,Butterboy
2019-11-30 04:31 AM,AZUREGOS,CHECKED,riss
2019-11-30 04:44 AM,KAZZAK,CHECKED,Butterboy
2019-11-30 05:00 AM,AZUREGOS,CHECKED,riss
2019-11-30 05:20 AM,KAZZAK,CHECKED,Butterboy
2019-11-30 05:30 AM,AZUREGOS,CHECKED,riss
2019-11-30 05:35 AM,KAZZAK,CHECKED,Butterboy
2019-11-30 06:00 AM,AZUREGOS,CHECKED,riss
2019-11-30 06:17 AM,KAZZAK,CHECKED,Derok
2019-11-30 06:30 AM,AZUREGOS,CHECKED,riss
2019-11-30 06:47 AM,KAZZAK,CHECKED,Kainslayer
2019-11-30 07:00 AM,AZUREGOS,CHECKED,riss
2019-11-30 07:33 AM,AZUREGOS,CHECKED,riss
2019-11-30 07:34 AM,KAZZAK,CHECKED,Kainslayer
2019-11-30 08:00 AM,KAZZAK,CHECKED,riss
2019-11-30 08:00 AM,AZUREGOS,CHECKED,riss
2019-11-30 08:36 AM,AZUREGOS,CHECKED,Zodiackiller
2019-11-30 09:02 AM,AZUREGOS,CHECKED,Zodiackiller
2019-11-30 09:16 AM,KAZZAK,CHECKED,Lokomani
2019-11-30 09:29 AM,AZUREGOS,CHECKED,Zodiackiller
2019-11-30 10:00 AM,AZUREGOS,CHECKED,Zodiackiller
2019-11-30 10:32 AM,AZUREGOS,CHECKED,Zodiackiller
2019-11-30 10:38 AM,KAZZAK,CHECKED,Ooze
2019-11-30 11:05 AM,AZUREGOS,CHECKED,Livewire
2019-11-30 11:34 AM,AZUREGOS,CHECKED,Livewire
2019-11-30 12:07 PM,AZUREGOS,CHECKED,Livewire
2019-11-30 12:23 PM,KAZZAK,CHECKED,Lokomani
2019-11-30 12:39 PM,AZUREGOS,CHECKED,Livewire
2019-11-30 12:48 PM,AZUREGOS,CHECKED,Livewire
2019-11-30 12:49 PM,KAZZAK,CHECKED,Lokomani
2019-11-30 12:49 PM,KAZZAK,CHECKED,Bashna
2019-11-30 12:52 PM,AZUREGOS,CHECKED,Drum
2019-11-30 01:06 PM,AZUREGOS,CHECKED,Livewire
2019-11-30 01:35 PM,AZUREGOS,CHECKED,Livewire
2019-11-30 02:09 PM,AZUREGOS,CHECKED,Livewire
2019-11-30 02:12 PM,KAZZAK,CHECKED,Derok
2019-11-30 02:22 PM,KAZZAK,CHECKED,Smoothie
2019-11-30 02:31 PM,AZUREGOS,CHECKED,Livewire
2019-11-30 03:06 PM,KAZZAK,CHECKED,Smoothie
2019-11-30 03:10 PM,AZUREGOS,CHECKED,Derok
2019-11-30 03:38 PM,AZUREGOS,CHECKED,Derok
2019-11-30 03:51 PM,AZUREGOS,CHECKED,Derok
2019-11-30 03:55 PM,AZUREGOS,CHECKED,Drum
2019-11-30 04:23 PM,KAZZAK,CHECKED,Lokomani
2019-11-30 04:36 PM,AZUREGOS,CHECKED,Livewire
2019-11-30 04:37 PM,KAZZAK,CHECKED,Arbok
2019-11-30 05:13 PM,KAZZAK,CHECKED,Lokomani
2019-11-30 05:13 PM,AZUREGOS,CHECKED,Derok
2019-11-30 05:50 PM,AZUREGOS,CHECKED,Derok
2019-11-30 06:10 PM,AZUREGOS,CHECKED,Drum
2019-11-30 06:35 PM,AZUREGOS,CHECKED,Derok
2019-11-30 08:06 PM,KAZZAK,CHECKED,Kainslayer
2019-11-30 09:07 PM,KAZZAK,CHECKED,Kainslayer
2019-11-30 10:11 PM,AZUREGOS,CHECKED,Drum
2019-11-30 10:57 PM,AZUREGOS,CHECKED,Derok
2019-11-30 11:36 PM,AZUREGOS,CHECKED,Bodrin
2019-11-30 11:49 PM,KAZZAK,CHECKED,Lokomani
2019-12-01 12:08 AM,AZUREGOS,CHECKED,Bodrin
2019-12-01 12:19 AM,KAZZAK,CHECKED,Lokomani
2019-12-01 12:37 AM,AZUREGOS,CHECKED,Zodiackiller
2019-12-01 12:37 AM,AZUREGOS,CHECKED,Bodrin
2019-12-01 12:44 AM,KAZZAK,CHECKED,Banx
2019-12-01 01:07 AM,AZUREGOS,CHECKED,Bodrin
2019-12-01 01:36 AM,KAZZAK,CHECKED,Butterboy
2019-12-01 01:41 AM,AZUREGOS,CHECKED,Zodiackiller
2019-12-01 01:59 AM,AZUREGOS,CHECKED,Goob
2019-12-01 02:18 AM,KAZZAK,CHECKED,Butterboy
2019-12-01 02:26 AM,AZUREGOS,CHECKED,Zodiackiller
2019-12-01 02:53 AM,AZUREGOS,CHECKED,Zodiackiller
2019-12-01 03:20 AM,AZUREGOS,CHECKED,Zodiackiller
2019-12-01 03:32 AM,KAZZAK,CHECKED,Jessejay
2019-12-01 03:48 AM,AZUREGOS,CHECKED,Zodiackiller
2019-12-01 04:01 AM,KAZZAK,CHECKED,Kainslayer
2019-12-01 04:16 AM,AZUREGOS,CHECKED,Zodiackiller
2019-12-01 04:35 AM,AZUREGOS,CHECKED,Goob
2019-12-01 04:55 AM,KAZZAK,CHECKED,Kainslayer
2019-12-01 04:56 AM,AZUREGOS,CHECKED,Goob
2019-12-01 05:22 AM,AZUREGOS,CHECKED,Zodiackiller
2019-12-01 05:31 AM,KAZZAK,CHECKED,Kainslayer
2019-12-01 05:46 AM,AZUREGOS,CHECKED,Goob
2019-12-01 06:01 AM,KAZZAK,CHECKED,Kainslayer
2019-12-01 06:08 AM,KAZZAK,CHECKED,Op
2019-12-01 06:09 AM,AZUREGOS,CHECKED,Op
2019-12-01 06:32 AM,KAZZAK,CHECKED,Kainslayer
2019-12-01 06:37 AM,AZUREGOS,CHECKED,Zodiackiller
2019-12-01 06:56 AM,KAZZAK,CHECKED,Kainslayer
2019-12-01 07:06 AM,AZUREGOS,CHECKED,Zodiackiller
2019-12-01 07:32 AM,KAZZAK,CHECKED,Kainslayer
2019-12-01 07:35 AM,AZUREGOS,CHECKED,Zodiackiller
2019-12-01 08:02 AM,AZUREGOS,CHECKED,Zodiackiller
2019-12-01 08:22 AM,KAZZAK,CHECKED,Gameblouses
2019-12-01 08:30 AM,AZUREGOS,CHECKED,Op
2019-12-01 09:00 AM,AZUREGOS,CHECKED,Op
2019-12-01 09:38 AM,KAZZAK,CHECKED,Gameblouses
2019-12-01 10:16 AM,AZUREGOS,CHECKED,Drum
2019-12-01 11:00 AM,AZUREGOS,CHECKED,Drum
2019-12-01 12:31 PM,KAZZAK,CHECKED,Op
2019-12-01 12:32 PM,AZUREGOS,CHECKED,Op
2019-12-01 12:51 PM,AZUREGOS,CHECKED,Goob
2019-12-01 01:00 PM,AZUREGOS,CHECKED,Op
2019-12-01 01:00 PM,KAZZAK,CHECKED,Op
2019-12-01 01:13 PM,AZUREGOS,CHECKED,Drum
2019-12-01 01:30 PM,KAZZAK,CHECKED,Op
2019-12-01 01:30 PM,AZUREGOS,CHECKED,Op
2019-12-01 02:00 PM,KAZZAK,CHECKED,Op
2019-12-01 02:00 PM,AZUREGOS,CHECKED,Op
2019-12-01 02:22 PM,AZUREGOS,SPAWN,Bran
2019-12-01 02:34 PM,AZUREGOS,KILLED,Flop
2019-12-01 03:58 PM,KAZZAK,CHECKED,Butterboy
2019-12-01 04:30 PM,KAZZAK,CHECKED,Op
2019-12-01 05:00 PM,KAZZAK,CHECKED,Op
2019-12-01 05:06 PM,KAZZAK,CHECKED,Ogopogo
2019-12-01 05:07 PM,AZUREGOS,CHECKED,Willboof
2019-12-01 05:31 PM,KAZZAK,CHECKED,Butterboy
2019-12-01 07:12 PM,KAZZAK,CHECKED,Butterboy
2019-12-01 08:42 PM,KAZZAK,CHECKED,Banx
2019-12-01 09:11 PM,KAZZAK,CHECKED,Butterboy
2019-12-01 09:41 PM,KAZZAK,CHECKED,Lokomani
2019-12-01 10:30 PM,KAZZAK,CHECKED,Lokomani
2019-12-01 10:52 PM,KAZZAK,CHECKED,Butterboy
2019-12-01 11:19 PM,AZUREGOS,CHECKED,ApachePrime
2019-12-02 12:25 AM,KAZZAK,CHECKED,Butterboy
2019-12-02 01:41 AM,KAZZAK,CHECKED,Butterboy
2019-12-02 02:40 AM,KAZZAK,CHECKED,nextgen
2019-12-02 03:08 AM,KAZZAK,CHECKED,Ogopogo
2019-12-02 03:44 AM,KAZZAK,CHECKED,nextgen
2019-12-02 04:15 AM,KAZZAK,CHECKED,Msa
2019-12-02 04:19 AM,AZUREGOS,CHECKED,Willboof
2019-12-02 04:39 AM,KAZZAK,CHECKED,Zizzo
